Match Number,Match,Team Innings,Bowler,Wickets,Overs.1,Overs.2,Maidens,No Balls,Wides,Runs,Economy,Balls
1,England vs New Zealand,New Zealand,Trent Boult,1,10,0,1,0,1,48,4.8,60
1,England vs New Zealand,New Zealand,Matt Henry,3,10,0,1,0,0,48,4.8,60
1,England vs New Zealand,New Zealand,Mitchell Santner,2,10,0,0,0,1,37,3.7,60
1,England vs New Zealand,New Zealand,Jimmy Neesham,0,7,0,0,0,4,56,8,42
1,England vs New Zealand,New Zealand,Rachin Ravindra,1,10,0,0,0,0,76,7.6,60
1,England vs New Zealand,New Zealand,Glenn Phillips,2,3,0,0,0,0,17,5.7,18
1,England vs New Zealand,England,Chris Woakes,0,6,0,0,0,0,45,7.5,36
1,England vs New Zealand,England,Sam Curran,1,6,0,2,0,2,47,7.8,36
1,England vs New Zealand,England,Mark Wood,0,5,0,0,0,1,55,11,30
1,England vs New Zealand,England,Moeen Ali,0,9,2,0,0,0,60,6.4,56
1,England vs New Zealand,England,Adil Rashid,0,7,0,0,0,0,47,6.7,42
1,England vs New Zealand,England,Liam Livingstone,0,3,0,0,0,0,24,8,18
2,Pakistan vs Netherlands,Pakistan,Aryan Dutt,1,10,0,0,0,2,48,4.8,60
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,1,6,0,0,0,1,30,5,36
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,2,8,0,1,0,0,39,4.9,48
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,1,6,0,0,0,2,40,6.7,36
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,4,9,0,0,0,3,62,6.9,54
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,0,6,0,0,1,0,36,6,36
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,0,2,0,0,0,0,16,8,12
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,0,2,0,0,0,0,15,7.5,12
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,1,7,0,0,0,2,37,5.3,42
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,2,7,0,1,0,4,33,4.7,42
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,3,9,0,0,0,2,43,4.8,54
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,1,3,0,0,0,0,16,5.3,18
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,1,7,0,0,0,0,31,4.4,42
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,1,8,0,0,0,1,45,5.6,48
3,Bangladesh vs Afghanistan,Bangladesh,Taskin Ahmed,1,6,0,0,0,1,32,5.3,36
3,Bangladesh vs Afghanistan,Bangladesh,Shoriful Islam,2,6,2,1,0,2,34,5.4,38
3,Bangladesh vs Afghanistan,Bangladesh,Mustafizur Rahman,1,7,0,1,0,0,28,4,42
3,Bangladesh vs Afghanistan,Bangladesh,Shakib Al Hasan,3,8,0,0,0,0,30,3.8,48
3,Bangladesh vs Afghanistan,Bangladesh,Mehidy Hasan Miraz,3,9,0,3,0,5,25,2.8,54
3,Bangladesh vs Afghanistan,Bangladesh,Mahmudullah,0,1,0,0,0,0,7,7,6
3,Bangladesh vs Afghanistan,Afghanistan,Fazalhaq Farooqi,1,5,0,0,0,2,19,3.8,30
3,Bangladesh vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,0,7,0,0,0,0,30,4.3,42
3,Bangladesh vs Afghanistan,Afghanistan,Naveen-ul-Haq,1,5,4,0,1,1,31,5.5,34
3,Bangladesh vs Afghanistan,Afghanistan,Rashid Khan,0,9,0,0,0,0,48,5.3,54
3,Bangladesh vs Afghanistan,Afghanistan,Mohammad Nabi,0,6,0,1,0,1,18,3,36
3,Bangladesh vs Afghanistan,Afghanistan,Azmatullah Omarzai,1,2,0,0,0,0,9,4.5,12
4,South Africa vs Sri Lanka,Sri Lanka,Kasun Rajitha,1,10,0,1,0,2,90,9,60
4,South Africa vs Sri Lanka,Sri Lanka,Dilshan Madushanka,2,10,0,0,1,3,86,8.6,60
4,South Africa vs Sri Lanka,Sri Lanka,Dasun Shanaka,0,6,0,0,0,0,36,6,36
