Match Number,Match,Team Innings,Bowler,Wickets,Overs,Maidens,No Balls,Wides,Runs,Economy
1,England vs New Zealand,England,  Boult  ,1,10,1,0,1,48,4.8
1,England vs New Zealand,England,  Matt Henry  ,3,10,1,0,0,48,4.8
1,England vs New Zealand,England,  Santner  ,2,10,0,0,1,37,3.7
1,England vs New Zealand,England,  Neesham  ,0,7,0,0,4,56,8
1,England vs New Zealand,England,  Rachin Ravindra  ,1,10,0,0,0,76,7.6
1,England vs New Zealand,England,  Glenn Phillips  ,2,3,0,0,0,17,5.7
1,England vs New Zealand,New Zealand,  Chris Woakes  ,0,6,0,0,0,45,7.5
1,England vs New Zealand,New Zealand,  Sam Curran  ,1,6,2,0,2,47,7.8
1,England vs New Zealand,New Zealand,  Mark Wood  ,0,5,0,0,1,55,11
1,England vs New Zealand,New Zealand,  Moeen Ali  ,0,9.2,0,0,0,60,6.4
1,England vs New Zealand,New Zealand,  Adil Rashid  ,0,7,0,0,0,47,6.7
1,England vs New Zealand,New Zealand,  Liam Livingstone  ,0,3,0,0,0,24,8
2,Pakistan vs Netherlands,Pakistan,  Aryan Dutt  ,1,10,0,0,2,48,4.8
2,Pakistan vs Netherlands,Pakistan,  van Beek  ,1,6,0,0,1,30,5
2,Pakistan vs Netherlands,Pakistan,  Ackermann  ,2,8,1,0,0,39,4.9
2,Pakistan vs Netherlands,Pakistan,  van Meekeren  ,1,6,0,0,2,40,6.7
2,Pakistan vs Netherlands,Pakistan,  Bas de Leede  ,4,9,0,0,3,62,6.9
2,Pakistan vs Netherlands,Pakistan,  van der Merwe  ,0,6,0,1,0,36,6
2,Pakistan vs Netherlands,Pakistan,  Vikramjit Singh  ,0,2,0,0,0,16,8
2,Pakistan vs Netherlands,Pakistan,  Saqib Zulfiqar  ,0,2,0,0,0,15,7.5
2,Pakistan vs Netherlands,Netherlands,  Shaheen Afridi  ,1,7,0,0,2,37,5.3
2,Pakistan vs Netherlands,Netherlands,  Hasan Ali  ,2,7,1,0,4,33,4.7
2,Pakistan vs Netherlands,Netherlands,  Haris Rauf  ,3,9,0,0,2,43,4.8
2,Pakistan vs Netherlands,Netherlands,  Iftikhar Ahmed  ,1,3,0,0,0,16,5.3
2,Pakistan vs Netherlands,Netherlands,  Mohammad Nawaz  ,1,7,0,0,0,31,4.4
2,Pakistan vs Netherlands,Netherlands,  Shadab Khan  ,1,8,0,0,1,45,5.6
3,Bangladesh vs Afghanistan,Afghanistan,  Taskin Ahmed  ,1,6,0,0,1,32,5.3
3,Bangladesh vs Afghanistan,Afghanistan,  Shoriful Islam  ,2,6.2,1,0,2,34,5.4
3,Bangladesh vs Afghanistan,Afghanistan,  Mustafizur  ,1,7,1,0,0,28,4
3,Bangladesh vs Afghanistan,Afghanistan,  Shakib (c)  ,3,8,0,0,0,30,3.8
3,Bangladesh vs Afghanistan,Afghanistan,  Mehidy Hasan Miraz  ,3,9,3,0,5,25,2.8
3,Bangladesh vs Afghanistan,Afghanistan,  Mahmudullah  ,0,1,0,0,0,7,7
3,Bangladesh vs Afghanistan,Bangladesh,  Fazalhaq Farooqi  ,1,5,0,0,2,19,3.8
3,Bangladesh vs Afghanistan,Bangladesh,  Mujeeb Ur Rahman  ,0,7,0,0,0,30,4.3
3,Bangladesh vs Afghanistan,Bangladesh,  Naveen-ul-Haq  ,1,5.4,0,1,1,31,5.5
3,Bangladesh vs Afghanistan,Bangladesh,  Rashid Khan  ,0,9,0,0,0,48,5.3
3,Bangladesh vs Afghanistan,Bangladesh,  Mohammad Nabi  ,0,6,1,0,1,18,3
3,Bangladesh vs Afghanistan,Bangladesh,  Azmatullah Omarzai  ,1,2,0,0,0,9,4.5
4,South Africa vs Sri Lanka,South Africa,  Rajitha  ,1,10,1,0,2,90,9
4,South Africa vs Sri Lanka,South Africa,  Dilshan Madushanka  ,2,10,0,1,3,86,8.6
4,South Africa vs Sri Lanka,South Africa,  Shanaka (c)  ,0,6,0,0,0,36,6
4,South Africa vs Sri Lanka,South Africa,  Dhananjaya de Silva  ,0,4,0,0,1,39,9.8
4,South Africa vs Sri Lanka,South Africa,  Matheesha Pathirana  ,1,10,0,0,13,95,9.5
4,South Africa vs Sri Lanka,South Africa,  Dunith Wellalage  ,1,10,0,0,2,81,8.1
4,South Africa vs Sri Lanka,Sri Lanka,  Lungi Ngidi  ,1,8,1,0,2,49,6.1
4,South Africa vs Sri Lanka,Sri Lanka,  Marco Jansen  ,2,10,0,0,3,92,9.2
4,South Africa vs Sri Lanka,Sri Lanka,  Kagiso Rabada  ,2,7.5,0,1,2,50,6.4
4,South Africa vs Sri Lanka,Sri Lanka,  Keshav Maharaj  ,2,10,0,0,6,62,6.2
4,South Africa vs Sri Lanka,Sri Lanka,  Gerald Coetzee  ,3,9,0,0,1,68,7.6
5,India vs Australia,Australia,  Bumrah  ,2,10,0,0,4,35,3.5
5,India vs Australia,Australia,  Siraj  ,1,6.3,1,0,2,26,4
5,India vs Australia,Australia,  Hardik Pandya  ,1,3,0,0,0,28,9.3
5,India vs Australia,Australia,  Ashwin  ,1,10,1,0,0,34,3.4
5,India vs Australia,Australia,  Kuldeep Yadav  ,2,10,0,0,0,42,4.2
5,India vs Australia,Australia,  Ravindra Jadeja  ,3,10,2,0,0,28,2.8
5,India vs Australia,India,  Mitchell Starc  ,1,8,0,0,3,31,3.9
5,India vs Australia,India,  Josh Hazlewood  ,3,9,1,0,1,38,4.2
5,India vs Australia,India,  Pat Cummins (c)  ,0,6.2,0,1,1,33,5.2
5,India vs Australia,India,  Glenn Maxwell  ,0,8,0,0,0,33,4.1
5,India vs Australia,India,  Cameron Green  ,0,2,0,0,0,11,5.5
5,India vs Australia,India,  Adam Zampa  ,0,8,0,0,0,53,6.6
6,New Zealand vs Netherlands,New Zealand,  Aryan Dutt  ,2,10,2,0,5,62,6.2
6,New Zealand vs Netherlands,New Zealand,  Ryan Klein  ,0,7,1,0,3,41,5.9
6,New Zealand vs Netherlands,New Zealand,  van Meekeren  ,2,9,0,1,0,59,6.6
6,New Zealand vs Netherlands,New Zealand,  van der Merwe  ,2,9,0,0,0,56,6.2
6,New Zealand vs Netherlands,New Zealand,  Ackermann  ,0,4,0,0,0,28,7
